date,added,removed
2021-11-19,LIN,MS
2021-11-22,MS,LIN
2021-12-06,LOW,AMD
2021-12-07,AMD,LOW
2021-12-09,LOW,AMD
2021-12-13,LIN,MS
2021-12-14,MS,LOW
2021-12-15,AMD,MS
2021-12-16,MS,AMD
2021-12-21,AMD,LIN
2021-12-23,LIN,TXN
2021-12-27,TXN,LIN
2021-12-28,LIN,MS
2022-01-03,MS,LIN
2022-01-05,LIN,INTU
2022-01-06,LOW|SCHW,LIN|NEE
2022-01-07,LIN|NEE,LOW|TXN
2022-01-10,TXN,NEE
2022-01-20,NEE,TXN
2022-01-21,TXN,LIN
2022-01-25,LIN|PM,AMD|NEE
2022-02-01,AMD,PM
2022-02-02,PM,PYPL
2022-02-04,INTU,LIN
2022-02-08,TMUS,INTU
2022-02-09,INTU,TMUS
2022-02-11,TMUS,INTU
2022-02-14,UNP,TXN
2022-02-23,TXN,TMUS
2022-02-24,TMUS,UNP
2022-02-28,UNP,TMUS
2022-03-01,RTX|TMUS,MS|SCHW
2022-03-02,SCHW,RTX
2022-03-03,NEE,SCHW
2022-03-07,BMY|LOW,AMD|PM
2022-03-08,AMD,BMY
2022-03-09,MS,LOW
2022-03-10,SCHW,AMD
2022-03-11,BMY,MS
2022-03-14,LOW,NFLX
2022-03-15,NFLX,BMY
2022-03-16,AMD|MS,LOW|NFLX
2022-03-17,NFLX,AMD
2022-03-21,AMD,TMUS
2022-03-24,LIN,MS
2022-03-31,TMUS,SCHW
2022-04-05,BMY,UNP
2022-04-08,PM,QCOM
2022-04-12,UNP,NFLX
2022-04-13,QCOM|SCHW,PM|UNP
2022-04-14,PM|RTX,AMD|QCOM
2022-04-18,QCOM,SCHW
2022-04-19,AMD,RTX
2022-04-20,RTX,AMD
2022-04-21,MS|UNP,NEE|RTX
2022-04-22,RTX,MS
2022-05-02,AMD,RTX
2022-05-04,MS,UNP
2022-05-05,UNP,MS
2022-05-09,T,AMD
2022-05-10,AMD,T
2022-05-12,T,AMD
2022-05-13,AMD,T
2022-05-16,T,UNP
2022-05-24,NEE,QCOM
2022-05-25,QCOM,NEE
2022-06-02,NEE,T
2022-06-07,COP,TXN
2022-06-10,META,NEE
2022-06-13,NEE,AMD
2022-06-14,TXN,NEE
2022-06-15,AMD|NEE,COP|TXN
2022-06-16,T|TXN,AMD|QCOM
2022-06-28,QCOM,TXN
2022-07-01,RTX,QCOM
2022-07-05,QCOM,LIN
2022-07-07,TXN,RTX
2022-07-19,LIN,PM
2022-07-20,AMD,LIN
2022-07-21,PM,T
2022-07-25,LIN,AMD
2022-07-27,AMD,LIN
2022-07-29,LIN,INTC
2022-08-01,INTC,LIN
2022-08-04,LIN,INTC
2022-08-22,MS,LIN
2022-08-29,COP|LIN|UNP,AMD|BMY|MS
2022-08-30,BMY|MS,COP|UNP
2022-09-01,UNP,LIN
2022-09-02,COP,UNP
2022-09-06,UNP,COP
2022-09-07,LIN,UNP
2022-09-08,UNP,LIN
2022-09-12,LIN,UNP
2022-09-13,COP,QCOM
2022-09-14,QCOM,LIN
2022-09-15,LIN,QCOM
2022-09-16,QCOM,ADBE
2022-09-21,SCHW,LIN
2022-09-22,LIN,SCHW
2022-09-23,SCHW,COP
2022-09-29,COP,QCOM
2022-09-30,ADBE|QCOM,CMCSA|COP
2022-10-03,COP,QCOM
2022-10-04,QCOM,PM
2022-10-07,PM,MS
2022-10-10,MS,QCOM
2022-10-11,AMGN,MS
2022-10-17,CMCSA,SCHW
2022-10-18,MS,CMCSA
2022-10-19,RTX,MS
2022-10-20,CMCSA,RTX
2022-10-21,SCHW,CMCSA
2022-11-02,MS,PM
2022-11-03,RTX,ADBE
2022-11-04,PM,CRM
2022-11-07,CRM,PM
2022-11-08,HON|PM,MS|RTX
2022-11-10,ADBE|MS,HON|PM
2022-11-11,PM,SCHW
2022-11-18,SCHW,CRM
2022-11-23,CMCSA,MS
2022-11-25,CRM,CMCSA
2022-11-28,CMCSA,SCHW
2022-11-29,MS|SCHW,CMCSA|CRM
2022-11-30,CMCSA|CRM,AMGN|COP
2022-12-01,AMGN,CRM
2022-12-06,RTX,MS
2022-12-08,MS,RTX
2022-12-13,RTX,SCHW
2022-12-15,SCHW,AMGN
2022-12-19,AMGN,MS
2022-12-20,HON,AMGN
2022-12-22,MS,HON
2022-12-23,HON,MS
2022-12-27,COP,HON
2022-12-28,HON,COP
2022-12-30,COP,HON
2023-01-03,HON,COP
2023-01-04,MS,HON
2023-01-05,AMGN,MS
2023-01-09,CRM,AMGN
2023-01-10,AMGN|MS,CRM|RTX
2023-01-12,RTX,AMGN
2023-01-13,COP,RTX
2023-01-18,NFLX,COP
2023-01-19,COP|CRM,NFLX|SCHW
2023-01-20,NFLX,COP
2023-02-01,QCOM,NEE
2023-02-06,NEE,QCOM
2023-02-07,QCOM,NEE
2023-02-08,NEE,QCOM
2023-02-23,RTX,NFLX
2023-02-24,SCHW,RTX
2023-02-27,NFLX|RTX,NEE|SCHW
2023-03-01,SCHW,NFLX
2023-03-02,NEE,SCHW
2023-03-14,AMD,BMY
2023-03-15,BMY,RTX
2023-03-16,RTX,BMY
2023-03-17,BMY,MS
2023-03-21,MS,BMY
2023-03-22,BMY,WFC
2023-03-23,NFLX,PM
2023-03-24,PM,MS
2023-03-27,WFC,RTX
2023-03-28,RTX,WFC
2023-03-29,WFC,RTX
2023-03-30,RTX,WFC
2023-03-31,MS,RTX
2023-04-03,RTX,MS
2023-04-11,WFC,RTX
2023-04-12,RTX,WFC
2023-04-17,WFC,AMD
2023-04-19,MS,NFLX
2023-04-26,NFLX,BMY
2023-05-01,AMD,MS
2023-05-02,BMY,NFLX
2023-05-03,NFLX,AMD
2023-05-04,AMD,WFC
2023-05-08,WFC,RTX
2023-05-12,RTX,WFC
2023-05-15,WFC,RTX
2023-05-17,RTX,BMY
2023-05-23,BMY,RTX
2023-05-25,RTX,BMY
2023-05-26,MS,RTX
2023-05-31,BMY,MS
2023-06-01,RTX,BMY
2023-06-14,INTC,RTX
2023-06-21,RTX,INTC
2023-06-27,INTC,RTX
2023-06-29,RTX,INTC
2023-07-12,INTC,RTX
2023-07-14,MS,INTC
2023-07-17,INTC,VZ
2023-07-20,VZ,INTC
2023-07-21,INTC,VZ
2023-07-24,VZ,INTC
2023-07-26,UNP,VZ
2023-07-27,INTC,UNP
2023-08-01,QCOM,NEE
2023-08-02,CAT|NEE,INTC|QCOM
2023-08-03,INTC,NEE
2023-08-07,BA,CAT
2023-08-08,CAT,MS
2023-08-15,AMGN,BA
2023-08-16,VZ,CAT
2023-08-17,CAT|COP,INTC|VZ
2023-08-18,VZ,CAT
2023-08-21,INTC,VZ
2023-08-22,BA|VZ,AMGN|INTC
2023-08-23,INTC|INTU,BA|COP
2023-08-24,COP,INTC
2023-08-25,INTC,COP
2023-09-01,COP,UPS
2023-09-06,CAT,VZ
2023-09-13,VZ,CAT
2023-09-14,MS,VZ
2023-09-20,AMGN,MS
2023-09-22,VZ,NKE
2023-09-25,CAT,VZ
2023-09-26,VZ,CAT
2023-09-27,CAT,VZ
2023-09-29,NKE,CAT
2023-10-24,VZ,TXN
2023-11-10,QCOM,COP
2023-11-21,IBM,AMGN
2023-11-24,AMGN,IBM
2023-11-27,IBM,AMGN
2023-11-28,AMGN,QCOM
2023-11-29,QCOM,AMGN
2023-11-30,AMGN,QCOM
2023-12-04,QCOM,PM
2023-12-12,NOW,AMGN
2023-12-13,AMGN,NOW
2023-12-14,BX|TXN,AMGN|PFE
2023-12-15,BA,IBM
2023-12-18,PFE,BX
2023-12-22,AMGN,BA
2023-12-26,BX,AMGN
2023-12-29,AMGN,BX
2024-01-02,BA,TXN
2024-01-03,TXN,BA
2024-01-04,BA,TXN
2024-01-08,TXN,BA
2024-01-12,IBM,TXN
2024-01-19,TXN,NKE
2024-01-24,NOW,TXN
2024-01-26,NKE,PFE
2024-02-02,CAT,NKE
2024-02-09,NKE,AMGN
2024-02-13,AMGN,CAT
2024-02-14,UBER,AMGN
2024-02-16,AMAT|CAT,NKE|NOW
2024-02-20,NKE,CAT
2024-02-26,CAT,NKE
2024-03-18,AXP,UBER
2024-03-19,UBER,AXP
2024-03-20,AXP,UBER
2024-03-21,UBER,AXP
2024-03-27,AXP,UBER
2024-04-04,GE,AXP
2024-04-05,UBER,CMCSA
2024-04-08,NOW,UBER
2024-04-11,UBER,NOW
2024-04-12,NOW,INTC
2024-04-15,AXP|INTC,NOW|UBER
2024-04-16,UBER,INTC
2024-04-17,CMCSA,UBER
2024-04-24,TXN,CMCSA
2024-05-01,PFE,IBM
2024-05-03,AMGN,PFE
2024-05-22,PFE,AMGN
2024-05-23,AMGN,PFE
2024-05-30,NEE,INTU
2024-06-03,PFE,NEE
2024-06-04,PM,CAT
2024-06-10,CAT,PFE
2024-06-12,INTU,PM
2024-06-14,PM,CAT
2024-06-17,MU,PM
2024-06-20,CAT,MU
2024-06-24,IBM,CAT
2024-06-25,CAT,IBM
2024-07-01,NOW,CAT
2024-07-02,IBM,NOW
2024-07-05,NOW,IBM
2024-07-08,IBM,NOW
2024-07-10,MS,IBM
2024-07-12,IBM,MS
2024-07-16,CAT,IBM
2024-07-17,IBM,GE
2024-07-18,GE,IBM
2024-07-19,PFE,CAT
2024-07-22,CAT|IBM,PFE|VZ
2024-07-23,BX|PM,CAT|DIS
2024-07-24,PFE,BX
2024-07-25,NOW,AMAT
2024-07-29,AMAT,NOW
2024-07-30,DIS,AMAT
2024-07-31,AMAT,DIS
2024-08-01,VZ,AMAT
2024-08-05,NOW,AXP
2024-08-06,AXP,NOW
2024-08-08,ISRG,PFE
2024-08-09,NOW,ISRG
2024-08-15,AMAT,VZ
2024-08-16,VZ,NOW
2024-08-20,NOW,AMAT
2024-08-21,ISRG,NOW
2024-08-26,NOW,ISRG
2024-08-27,ISRG,NOW
2024-08-30,NOW,ISRG
2024-09-12,ISRG,WFC
2024-09-13,WFC,ISRG
2024-09-16,BX,AMGN
2024-09-18,AMGN,INTU
2024-09-19,INTU,AMGN
2024-09-20,AMGN,INTU
2024-09-24,CAT,AMGN
2024-10-11,UBER,BX
2024-10-14,BX,UBER
2024-10-16,MS,TXN
2024-10-18,ISRG,VZ
2024-10-23,TXN,ISRG
2024-10-24,ISRG,DHR
2024-10-31,DHR,ISRG
2024-11-04,ISRG,DHR
2024-11-06,GS,ISRG
2024-11-07,INTU,GS
2024-11-08,ISRG,QCOM
2024-11-11,GS,ISRG
2024-11-12,ISRG,CAT
2024-11-14,DIS,TXN
2024-11-19,CAT,INTU
2024-11-21,INTU,CAT
2024-11-22,CAT,INTU
2024-12-11,INTU,GE
2024-12-19,GE,CAT
2024-12-20,PLTR,INTU
2024-12-31,INTU,PLTR
2025-01-02,PLTR,INTU
2025-01-07,QCOM,PLTR
2025-01-10,INTU,QCOM
2025-01-13,TXN,INTU
2025-01-14,CAT,TXN
2025-01-15,QCOM,CAT
2025-01-16,CAT,QCOM
2025-01-23,QCOM,ADBE
2025-01-27,ADBE,AMD
2025-01-28,PLTR,CAT
2025-01-29,AMD,PLTR
2025-01-30,PLTR,QCOM
2025-01-31,QCOM,AMD
2025-02-04,AMD,QCOM
2025-02-05,QCOM,AMD
2025-02-21,T,QCOM
2025-03-04,VZ,BX
2025-03-07,QCOM,NOW
2025-03-10,AMGN|RTX,GS|QCOM
2025-03-12,GS|NOW,AMGN|RTX
2025-03-13,AMGN|RTX,ADBE|NOW
2025-03-14,NOW,AMGN
2025-03-17,BX,NOW
2025-03-24,AMD,BX
2025-03-27,QCOM,AMD
2025-03-31,INTU,QCOM
2025-04-02,BX,INTU
2025-04-03,AMGN|INTU|PGR,BX|DIS|GS
2025-04-07,NOW,PGR
2025-04-08,PGR,NOW
2025-04-09,DIS|NOW,AMGN|PGR
2025-04-10,PGR,DIS
2025-04-17,GS,PGR
2025-04-22,UBER,RTX
2025-04-23,RTX,UBER
2025-04-24,UBER,TMO
2025-04-25,QCOM,UBER
2025-04-28,UBER,QCOM
2025-05-07,DIS,RTX
2025-05-08,RTX,UBER
2025-05-09,UBER,RTX
2025-05-13,AMD,PEP
2025-05-29,PEP,UBER
2025-05-30,RTX,AMD
2025-06-02,AMD,PEP
2025-06-16,TXN,VZ
2025-06-24,UBER,ISRG
2025-06-25,ISRG,ACN
2025-07-08,ACN,ISRG
2025-07-09,CAT,ACN
2025-07-10,BX,CAT
2025-07-15,CAT,BX
2025-07-16,BX,UBER
2025-07-17,PEP,T
2025-07-21,T,PEP
2025-07-22,PEP,TXN
2025-08-07,UBER,NOW
2025-08-22,TMO,INTU
2025-08-25,TXN,TMO
2025-08-27,VZ,TXN
2025-08-28,NOW,VZ
2025-09-22,INTU,PEP
2025-09-23,APP,NOW
2025-09-24,PEP,INTU
2025-09-25,INTU,PEP
2025-09-29,NOW,INTU
2025-09-30,PEP,NOW
2025-10-01,MU|TMO,PEP|T
2025-10-08,ANET,BX
2025-10-10,PEP,APP
2025-10-13,APP,ANET
2025-10-20,BX,APP
2025-10-21,NOW,BX
2025-10-22,BX,UBER
2025-10-23,APP|UBER,BX|NOW
2025-10-27,QCOM,UBER
2025-10-28,UBER,QCOM
2025-10-29,ANET|LRCX,DIS|PEP
2025-10-30,PEP,ANET
2025-10-31,DIS,LIN
2025-11-03,ANET,PEP
2025-11-04,LIN,ANET
2025-11-05,QCOM,UBER
2025-11-06,ISRG,QCOM
2025-11-13,PEP,APP
2025-11-14,UBER,LRCX
2025-11-19,LRCX,UBER
2025-11-20,T,LRCX
2025-11-24,APP|LRCX,DIS|T
2025-11-25,AMAT,APP
2025-11-26,APP,LIN
2025-12-09,C,PEP
2025-12-10,PEP,ISRG
2025-12-17,DIS|ISRG,AMAT|LRCX
2025-12-18,LRCX,ISRG
2025-12-19,AMAT|ISRG,DIS|PEP
2025-12-24,DIS,ISRG
2025-12-26,ISRG,DIS
2025-12-29,DIS,ISRG
2026-01-06,ISRG,DIS
2026-01-12,LIN,ISRG
2026-01-13,INTC,LIN
2026-01-14,LIN,C
2026-01-15,C,APP
2026-01-16,KLAC,LIN
