date,tickers
2010-03-12,"XOM,MSFT,AAPL,WMT,PG,GOOGL,JNJ,JPM,IBM,BAC,WFC,CSCO,CVX,PFE,ORCL,KO,INTC,T,C,MRK,GE,GS,PEP,PM,VZ,SLB,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,HD,ESRX,BA,CMCSA,USB,MMM,MDT,AXP,CVS,F,BMY,V,GILD,MO,CL"
2010-03-15,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JNJ,JPM,IBM,WFC,BAC,CSCO,CVX,PFE,ORCL,KO,INTC,T,MRK,C,GE,PEP,GS,PM,VZ,SLB,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,BA,MDT,CMCSA,USB,MMM,AXP,CVS,F,BMY,V,GILD,MO,CL"
2010-03-16,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JNJ,JPM,IBM,WFC,BAC,CSCO,CVX,PFE,ORCL,KO,INTC,GE,T,C,MRK,PEP,GS,PM,VZ,SLB,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,BA,USB,CMCSA,MDT,MMM,AXP,CVS,F,BMY,V,GILD,MO,CL"
2010-03-17,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JNJ,JPM,IBM,WFC,BAC,CSCO,CVX,PFE,ORCL,KO,INTC,T,C,GE,MRK,PEP,GS,PM,VZ,SLB,MCD,DIS,OXY,QCOM,UPS,COP,AMZN,AMGN,HPQ,HD,ESRX,BA,USB,CMCSA,MDT,MMM,CVS,AXP,F,BMY,V,GILD,MO,CL"
2010-03-18,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JNJ,JPM,IBM,WFC,BAC,CSCO,CVX,PFE,ORCL,KO,INTC,T,GE,C,MRK,PEP,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,BA,CMCSA,MMM,MDT,USB,CVS,AXP,F,BMY,GILD,V,MO,CL"
2010-03-19,"XOM,MSFT,WMT,AAPL,PG,JNJ,GOOGL,JPM,IBM,WFC,BAC,CSCO,CVX,PFE,ORCL,KO,INTC,T,GE,MRK,C,PEP,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,COP,AMGN,AMZN,HPQ,ESRX,HD,BA,USB,CMCSA,MDT,MMM,CVS,AXP,F,BMY,GILD,MO,V,CL"
2010-03-22,"XOM,MSFT,WMT,AAPL,PG,JNJ,GOOGL,JPM,IBM,WFC,BAC,CSCO,CVX,PFE,ORCL,KO,INTC,T,GE,C,MRK,PEP,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,COP,AMGN,AMZN,HPQ,ESRX,HD,BA,CMCSA,MDT,USB,CVS,MMM,AXP,F,BMY,GILD,MO,V,CL"
2010-03-23,"XOM,MSFT,WMT,AAPL,PG,JNJ,JPM,GOOGL,WFC,IBM,BAC,CSCO,CVX,PFE,ORCL,KO,INTC,T,C,GE,MRK,PEP,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,COP,AMGN,AMZN,HPQ,ESRX,HD,BA,CMCSA,MDT,USB,CVS,MMM,AXP,F,BMY,GILD,MO,V,CL"
2010-03-24,"XOM,MSFT,WMT,AAPL,PG,JNJ,JPM,GOOGL,BAC,WFC,IBM,CSCO,CVX,PFE,ORCL,KO,INTC,C,GE,T,MRK,PEP,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,COP,AMGN,AMZN,HPQ,ESRX,HD,BA,CMCSA,USB,MDT,CVS,AXP,MMM,F,BMY,GILD,MO,V,CL"
2010-03-25,"XOM,MSFT,WMT,AAPL,PG,GOOGL,JPM,JNJ,BAC,WFC,IBM,CSCO,CVX,PFE,ORCL,KO,INTC,C,GE,T,MRK,PEP,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,AMZN,COP,AMGN,HPQ,ESRX,HD,BA,CMCSA,CVS,USB,MDT,AXP,MMM,F,BMY,V,MO,GILD,CL"
2010-03-26,"XOM,MSFT,AAPL,WMT,PG,GOOGL,JPM,JNJ,BAC,WFC,IBM,CSCO,CVX,PFE,ORCL,KO,INTC,C,GE,T,MRK,PEP,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,AMZN,COP,AMGN,HPQ,ESRX,HD,BA,CMCSA,CVS,USB,MDT,AXP,MMM,F,BMY,V,MO,CL,GILD"
2010-03-29,"XOM,MSFT,AAPL,WMT,PG,GOOGL,JNJ,JPM,BAC,WFC,IBM,CSCO,CVX,PFE,ORCL,KO,INTC,C,T,GE,MRK,PEP,GS,PM,VZ,SLB,MCD,DIS,QCOM,OXY,UPS,AMZN,COP,AMGN,HPQ,ESRX,HD,BA,CMCSA,CVS,MDT,USB,AXP,MMM,BMY,F,MO,V,CL,GILD"
2010-03-30,"XOM,MSFT,AAPL,WMT,PG,GOOGL,JNJ,JPM,BAC,WFC,IBM,CSCO,CVX,PFE,ORCL,KO,INTC,GE,C,T,MRK,PEP,GS,PM,VZ,SLB,MCD,QCOM,DIS,OXY,UPS,AMZN,AMGN,COP,HPQ,ESRX,HD,BA,CMCSA,CVS,MMM,MDT,USB,AXP,BMY,F,V,MO,CL,GILD"
2010-03-31,"XOM,MSFT,AAPL,WMT,PG,GOOGL,JNJ,JPM,BAC,WFC,IBM,CVX,CSCO,PFE,ORCL,KO,INTC,GE,T,C,MRK,PEP,GS,PM,VZ,V,SLB,MCD,QCOM,DIS,OXY,UPS,AMZN,COP,AMGN,HPQ,ESRX,HD,BA,CMCSA,MMM,CVS,MDT,USB,AXP,BMY,F,MO,CL,GILD"
2010-04-01,"XOM,MSFT,AAPL,WMT,PG,JNJ,GOOGL,JPM,BAC,WFC,IBM,CVX,CSCO,PFE,ORCL,KO,INTC,C,GE,T,MRK,PEP,GS,PM,VZ,V,SLB,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,BA,CMCSA,MDT,USB,MMM,AXP,CVS,BMY,MO,F,CL,CAT"
2010-04-05,"XOM,MSFT,AAPL,WMT,PG,GOOGL,JPM,BAC,JNJ,WFC,IBM,CVX,CSCO,PFE,ORCL,KO,INTC,C,GE,T,MRK,PEP,GS,PM,VZ,SLB,V,MCD,QCOM,OXY,DIS,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,CMCSA,BA,USB,AXP,MDT,MMM,CVS,BMY,F,MO,CL,CAT"
2010-04-06,"XOM,MSFT,AAPL,WMT,BAC,JPM,GOOGL,PG,JNJ,WFC,IBM,CVX,CSCO,ORCL,PFE,KO,INTC,C,GE,T,MRK,PEP,GS,PM,VZ,SLB,V,MCD,QCOM,DIS,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,CMCSA,BA,USB,AXP,MMM,MDT,CVS,BMY,MO,F,CL,CAT"
2010-04-07,"XOM,MSFT,AAPL,WMT,BAC,JPM,JNJ,GOOGL,PG,WFC,IBM,CVX,CSCO,PFE,ORCL,INTC,C,KO,GE,T,MRK,PEP,GS,PM,VZ,SLB,V,MCD,QCOM,DIS,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,BA,CMCSA,USB,AXP,MMM,MDT,CVS,BMY,MO,F,CL,CAT"
2010-04-08,"XOM,MSFT,AAPL,WMT,BAC,JPM,GOOGL,PG,JNJ,WFC,IBM,CVX,CSCO,PFE,ORCL,C,INTC,KO,GE,T,MRK,PEP,GS,PM,VZ,SLB,V,MCD,DIS,QCOM,OXY,UPS,AMZN,COP,AMGN,HPQ,ESRX,HD,BA,CMCSA,USB,AXP,CVS,MMM,MDT,BMY,F,MO,CL,TGT"
2010-04-09,"XOM,MSFT,AAPL,WMT,BAC,JPM,GOOGL,PG,JNJ,WFC,CVX,IBM,CSCO,PFE,ORCL,C,KO,INTC,GE,T,MRK,PEP,GS,PM,VZ,SLB,V,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,ESRX,HD,BA,CMCSA,AXP,USB,CVS,MDT,MMM,BMY,MO,F,CL,TGT"
2010-04-12,"XOM,MSFT,AAPL,WMT,BAC,JPM,GOOGL,PG,JNJ,WFC,CVX,IBM,CSCO,C,PFE,ORCL,KO,INTC,GE,T,MRK,PEP,GS,PM,VZ,SLB,V,MCD,DIS,QCOM,OXY,UPS,COP,AMZN,AMGN,HPQ,HD,ESRX,BA,CMCSA,AXP,USB,CVS,MDT,MMM,BMY,MO,F,CL,CAT"
